eraly,"San Francisco, CA","{""C++"":2.141443130871025,""HTML"":28.27348975796632,""Java"":48.693264888368596,""JavaScript"":0.9517525026093444,""Jupyter Notebook"":3.8122394197923746,""Python"":11.048865831304758,""R"":3.961669792111397,""Rebol"":1.117274676976187}"
kkuchta,San Francisco CA,"{""CoffeeScript"":0.5380678026914095,""Go"":2.0012346345715577,""HTML"":25.344117290814445,""Haskell"":0.5518644130168302,""JavaScript"":28.558555038964705,""Python"":4.726556384426499,""Ruby"":26.845710843819028,""Shell"":0.5816949218285508,""TypeScript"":10.46786452508742,""Vim Script"":0.38433414477957817}"
hyperrex,"San Francisco Bay Area, California","{""CSS"":3.1517590270812863,""HTML"":12.092486715347643,""Java"":1.676575023197072,""JavaScript"":80.02659165712446,""TypeScript"":3.05258757724957}"
Alexander-Frost,"San Francisco, CA","{""HTML"":0.2981551051226844,""Objective-C"":4.037517048536351,""Rich Text Format"":0.34868986870280033,""Swift"":95.31563797763815}"
niallkennedy,"San Francisco, CA, United States","{""Objective-C"":11.38057173824685,""PHP"":88.61942826175316}"
marexandre,"San Francisco, CA","{""C"":2.6890381066085407,""CSS"":2.4649515977244953,""JavaScript"":65.26659112297301,""SCSS"":4.929903195448991,""TypeScript"":24.649515977244953}"
franciscohanna92,"San Juan, Argentina","{""C"":1.9387003694694032,""C#"":0.5052533686441816,""CSS"":1.5530136237265115,""HTML"":10.715323472663137,""JavaScript"":18.376623761229148,""Jupyter Notebook"":0.6241365142075185,""MATLAB"":0.37894002648313624,""PHP"":2.1534534700727246,""Processing"":0.34787936857468243,""Python"":2.0171149331166416,""Ruby"":0.3929748422788079,""Shell"":1.4147094322037086,""TypeScript"":59.581876817330425}"
rismay,"San Francisco, CA","{""C#"":1.5963943565400127,""CSS"":2.0753126635020167,""D"":0.4716619689777311,""Java"":2.549996596856448,""Objective-C"":15.177414247133669,""PHP"":0.3705915470539315,""Python"":4.633256178981246,""Ruby"":12.819084855847883,""Shell"":0.6485352073443802,""Swift"":59.657752377762684}"
loopDelicious,San Francisco,"{""C#"":0.5874719040392556,""C++"":0.8152546693268257,""CSS"":1.9340114741469208,""Dockerfile"":0.6417270054053437,""Go"":0.5924504794972154,""HTML"":3.8214443599945933,""Handlebars"":0.8392455771989367,""Java"":0.169463049242093,""JavaScript"":26.44806630071327,""Jupyter Notebook"":0.3671699400245348,""Python"":53.28016499737598,""Roff"":2.203019640147209,""Ruby"":0.4550027492068745,""SQLPL"":0.1305493120087235,""Shell"":1.385265899484046,""Vue"":6.3296926421881405}"
leemunroe,San Francisco,"{""CSS"":10.173241669226503,""HCL"":1.650862429789367,""HTML"":44.996113332056694,""JavaScript"":15.56656281377331,""Liquid"":3.301724859578734,""Python"":2.5456777178201255,""Ruby"":0.7969680695534876,""SCSS"":19.26006168087595,""Scala"":1.1005749531929114,""Shell"":0.6082124741329248}"
stevej,"San Francisco, CA","{""C"":5.972854506894358,""C++"":1.3944295944254401,""CSS"":0.5739672815772199,""Emacs Lisp"":0.9428975033115276,""Forth"":0.72091369071854,""Go"":3.105293252487338,""Haskell"":1.2504862014503948,""Java"":0.3481812252386756,""JavaScript"":0.4284426975926537,""Lua"":0.46859389896705095,""OCaml"":0.49829351228186397,""PureScript"":0.6052671194991074,""Python"":8.171619922337694,""Ruby"":2.00442662895755,""Rust"":9.821541333876063,""Scala"":3.353949490208636,""Shell"":2.2387763034093173,""Standard ML"":0.36752462664082425,""Tcl"":2.3801594868167664,""Verilog"":55.35238172330895}"
